sep=,
sender,timestamp,longitude,latitude,acc,batt,charge,time,emergency,azimuth,signalStrength,wifiSignalStrength
rdean@risnjak,2024-06-14 12:03:33+02:00,18.6962,45.5487,0,36,0,0,0,11.054657,-69.0,-200.0
kpopovic@risnjak,2024-06-14 12:03:36+02:00,18.6963,45.5487,0,87,0,0,0,136.9827,-200.0,-43.0
igudelj@risnjak,2024-06-14 12:03:37+02:00,18.6966,45.549,0,64,0,0,0,318.29358,-200.0,-50.0
rdean@risnjak,2024-06-14 12:03:43+02:00,18.6962,45.5487,0,36,0,0,0,11.054657,-69.0,-200.0
kpopovic@risnjak,2024-06-14 12:03:46+02:00,18.6963,45.5487,0,87,0,0,0,136.9873,-200.0,-42.0
igudelj@risnjak,2024-06-14 12:03:47+02:00,18.6966,45.549,0,64,0,0,0,318.58313,-200.0,-50.0
rdean@risnjak,2024-06-14 12:03:53+02:00,18.6962,45.5487,0,36,0,0,0,11.054657,-69.0,-200.0
kpopovic@risnjak,2024-06-14 12:03:56+02:00,18.6963,45.5487,0,87,0,0,0,136.90784,-200.0,-43.0
igudelj@risnjak,2024-06-14 12:03:57+02:00,18.6966,45.549,0,64,0,0,0,318.6983,-200.0,-50.0
rdean@risnjak,2024-06-14 12:04:03+02:00,18.6962,45.5487,0,36,0,0,0,11.054657,-69.0,-200.0
kpopovic@risnjak,2024-06-14 12:04:06+02:00,18.6963,45.5487,0,87,0,0,0,136.94626,-200.0,-43.0
igudelj@risnjak,2024-06-14 12:04:07+02:00,18.6966,45.549,0,64,0,0,0,318.52704,-200.0,-50.0
rdean@risnjak,2024-06-14 12:04:13+02:00,18.6962,45.5487,0,36,0,0,0,11.054657,-69.0,-200.0
kpopovic@risnjak,2024-06-14 12:04:16+02:00,18.6963,45.5487,0,87,0,0,0,136.99277,-200.0,-45.0
igudelj@risnjak,2024-06-14 12:04:17+02:00,18.6966,45.549,0,64,0,0,0,318.55667,-200.0,-50.0
rdean@risnjak,2024-06-14 12:04:23+02:00,18.6962,45.5487,0,36,0,0,0,11.054657,-69.0,-200.0
kpopovic@risnjak,2024-06-14 12:04:26+02:00,18.6963,45.5487,0,87,0,0,0,136.96155,-200.0,-43.0
igudelj@risnjak,2024-06-14 12:04:27+02:00,18.6966,45.549,0,64,0,0,0,318.24127,-200.0,-50.0
rdean@risnjak,2024-06-14 12:04:33+02:00,18.6962,45.5487,0,36,0,0,0,11.054657,-69.0,-200.0
